title,rating
Duck the Halls: A Mickey Mouse Christmas Special,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/the_night_before_christmas_a_mouse_tale (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A74FB5700>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Ernest Saves Christmas,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/ernest_saves_christmas (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A7556BB60>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Ice Age: A Mammoth Christmas,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/ice_age_a_mammoth_christmas (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A754EF860>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
The Queen Family Singalong,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/the_queens_corgi (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A7526B680>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
The Beatles: Get Back,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/the_beatles_get_back_the_rooftop_concert (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A75B6CAD0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Becoming Cousteau,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/becoming_cousteau (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A7523A570>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Hawkeye,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/karate_cops (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A754EACF0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Port Protection Alaska,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/bad_lieutenant_port_of_call_new_orleans (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A757146B0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Secrets of the Zoo: Tampa,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/aristotle_and_dante_discover_the_secrets_of_the_universe (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A750A6BD0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
A Muppets Christmas: Letters To Santa,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/letters_to_santa_a_muppets_christmas (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A7525BE60>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Adventure Thru the Walt Disney Archives,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/shang_chi_and_the_legend_of_the_ten_rings (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A761AD940>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Puppy for Hanukkah,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/a_puppy_for_christmas (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A75014F20>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
The Pixar Story,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/pixar_story (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A7644DA90>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
"Dr. Oakley, Yukon Vet","Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/doctor_strange_in_the_multiverse_of_madness (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A75906AE0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
America the Beautiful,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/america_the_beautiful_2008 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A762B67E0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Baymax!,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/big_hero_6 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A7626C1D0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Ciao Alberto,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/ciao_alberto (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A75151550>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Disney Fancy Nancy,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/fun_and_fancy_free (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A75283170>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Disney Intertwined,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/disneys_snow_white (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A761AFD10>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Enchanted,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/enchanted (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A74FBCAA0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Feast,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/a_halloween_feast (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A7592A5A0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Frozen Fever,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/frozen_fever (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A751E9EE0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Get a Horse!,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/get_a_horse (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A761F54F0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Home Sweet Home Alone,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/home_sweet_home_alone (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A75C050D0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Jungle Cruise,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/jungle_cruise (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A75481760>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
